Origin,Dest,CRSDepTime,CRSArrTime,DepDelay,FlightDate,Distance,LateAircraftDelay,WeatherDelay,day,month,hour,OriginCity,temperature_c,precip_mm,cloud_pct,wind_speed_mps
EWR,PHX,630,1000,121.0,2025-01-28,2133.0,111.0,0.0,28,1,6,New York,0.4,0.0,14.0,19.2
EWR,BNA,1457,1635,123.0,2025-01-28,748.0,0.0,0.0,28,1,14,New York,1.9,0.0,21.0,21.0
DEN,RNO,1615,1743,146.0,2025-01-28,804.0,113.0,0.0,28,1,16,Denver,2.8,0.0,0.0,0.9
DEN,OMA,1003,1239,-4.0,2025-01-28,472.0,0.0,0.0,28,1,10,Denver,-14.5,0.0,0.0,3.3
DEN,ORD,1555,1931,19.0,2025-01-28,888.0,0.0,0.0,28,1,15,Denver,0.6,0.0,0.0,2.1
IAH,SAT,1810,1922,12.0,2025-01-28,191.0,0.0,0.0,28,1,18,Houston,16.3,0.0,100.0,8.3
DEN,OMA,1755,2029,27.0,2025-01-28,472.0,18.0,0.0,28,1,17,Denver,3.9,0.0,0.0,0.7
DEN,MCO,940,1513,46.0,2025-01-28,1546.0,0.0,0.0,28,1,9,Denver,-13.8,0.0,0.0,4.7
EWR,SNA,1814,2137,-10.0,2025-01-28,2434.0,0.0,0.0,28,1,18,New York,-1.8,0.0,82.0,4.2
SEA,ORD,700,1306,26.0,2025-01-28,1721.0,0.0,0.0,28,1,7,Seattle,-0.1,0.0,4.0,4.4
EWR,CLE,1715,1901,32.0,2025-01-28,404.0,11.0,0.0,28,1,17,New York,0.0,0.0,86.0,9.9
EWR,LAS,1145,1426,37.0,2025-01-28,2227.0,21.0,0.0,28,1,11,New York,3.7,0.0,29.0,16.9
SEA,IAH,1359,2020,-3.0,2025-01-28,1874.0,0.0,0.0,28,1,13,Seattle,0.0,0.0,8.0,4.7
EWR,ORD,2125,2257,102.0,2025-01-28,719.0,0.0,0.0,28,1,21,New York,-2.1,0.0,74.0,4.4
SJC,ORD,630,1250,34.0,2025-01-28,1829.0,0.0,0.0,28,1,6,San Jose,4.6,0.0,23.0,2.2
DEN,HDN,1325,1427,78.0,2025-01-28,141.0,0.0,0.0,28,1,13,Denver,-6.9,0.0,0.0,5.8
EWR,MCO,1430,1732,35.0,2025-01-28,937.0,0.0,0.0,28,1,14,New York,1.9,0.0,21.0,21.0
DEN,TUS,1120,1333,18.0,2025-01-28,639.0,0.0,0.0,28,1,11,Denver,-14.1,0.0,0.0,1.9
EWR,MSY,1830,2104,139.0,2025-01-28,1167.0,127.0,0.0,28,1,18,New York,-1.8,0.0,82.0,4.2
ATL,IAH,700,827,359.0,2025-01-28,689.0,0.0,0.0,28,1,7,Atlanta,-0.1,0.0,0.0,12.7
